Super Real Mahjong P V,SAT,1995,Misc,0,0,0.19,0,0.19,N/A
Tactics Ogre: Let Us Cling Together,SNES,1995,Role-Playing,0,0,0.71,0,0.71,N/A
Tales of Phantasia,SNES,1995,Role-Playing,0,0,0.4,0,0.4,N/A
Tenchi Muyou! Ryoukouki Gokuraku,SAT,1995,Adventure,0,0,0.06,0,0.06,N/A
Terranigma,SNES,1995,Role-Playing,0,0,0.09,0,0.09,N/A
Tetris Attack,SNES,1995,Puzzle,0,0,0.15,0,0.15,N/A
The King of Fighters '95,SAT,1995,Fighting,0,0,0.28,0,0.28,N/A
The King of Fighters '95,NG,1995,Fighting,0,0,0.2,0,0.2,N/A
The Perfect Golf,PS,1995,Sports,0,0,0.03,0,0.03,N/A
Thoroughbred Breeder II Plus,PS,1995,Simulation,0,0,0.04,0,0.04,N/A
Tokimeki Mahjong Paradise: Koi no Tenpai Beat,SAT,1995,Misc,0,0,0.04,0,0.04,N/A
Tokimeki Memorial: Forever with You,PS,1995,Simulation,0,0,0.55,0.04,0.58,N/A
Victory Zone,PS,1995,Misc,0,0,0.1,0.01,0.11,N/A
Virtua Cop,SAT,1995,Shooter,0,0,0.62,0,0.62,N/A
Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,SAT,1995,Misc,0,0,0.11,0,0.11,N/A
Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,SAT,1995,Misc,0,0,0.08,0,0.08,N/A
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,1995,Misc,0,0,0.09,0,0.09,N/A
Virtua Fighter CG Portrait Series Vol.4: Pai Chan,SAT,1995,Misc,0,0,0.12,0,0.12,N/A
Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,SAT,1995,Misc,0,0,0.05,0,0.05,N/A
Virtua Fighter CG Portrait Series Vol.6: Lau Chan,SAT,1995,Misc,0,0,0.04,0,0.04,N/A
Virtua Fighter Kids,SAT,1995,Fighting,0,0,0.23,0,0.23,N/A
Virtual Hydlide,SAT,1995,Role-Playing,0,0,0.11,0,0.11,N/A
Winning Post 2,SNES,1995,Sports,0,0,0.3,0,0.3,N/A
Wizardry VI: Bane of the Cosmic Forge,SNES,1995,Role-Playing,0,0,0.1,0,0.1,N/A
Wizardry VII: Gadeia no Houshu,PS,1995,Role-Playing,0,0,0.14,0.01,0.15,N/A
X-Men: Children of the Atom,SAT,1995,Fighting,0,0,0.21,0,0.21,N/A
Zen-Nippon GT Senshuken,SNES,1995,Racing,0,0,0.04,0,0.04,N/A
Zero4 Champ RR-Z,SNES,1995,Racing,0,0,0.1,0,0.1,N/A
Psychic Detective,PS,1995,Adventure,0.01,0,0,0,0.01,N/A
Aquanaut's Holiday,PS,1995,Adventure,0.01,0.01,0,0,0.02,N/A
Carnage Heart,PS,1995,Strategy,0.01,0.01,0.09,0.01,0.11,N/A
You Don't Know Jack,PC,1995,Misc,0.02,0,0,0,0.02,N/A
A-Train,PS,1995,Simulation,0.02,0.01,0.04,0.01,0.08,N/A
Epidemic,PS,1995,Shooter,0.02,0.01,0.1,0.01,0.14,N/A
Robo Pit,PS,1995,Fighting,0.02,0.01,0,0,0.03,N/A
Novastorm,PS,1995,Shooter,0.02,0.02,0,0,0.04,N/A
Space Griffon VF-9,PS,1995,Role-Playing,0.02,0.02,0.12,0.01,0.17,N/A
Castlevania Dracula X,SNES,1995,Platform,0.03,0.01,0.05,0,0.09,N/A
Mega Man 7,SNES,1995,Platform,0.03,0.01,0.23,0.01,0.28,N/A
3D Lemmings,PS,1995,Puzzle,0.03,0.02,0,0,0.06,N/A
Hi-Octane: The Track Fights Back!,PS,1995,Racing,0.03,0.02,0,0,0.05,N/A
In the Hunt,PS,1995,Shooter,0.03,0.02,0.07,0.01,0.14,N/A
Johnny Bazookatone,PS,1995,Platform,0.03,0.02,0,0,0.05,N/A
Magic Carpet,PS,1995,Shooter,0.03,0.02,0,0,0.05,N/A
Philosoma,PS,1995,Shooter,0.03,0.02,0,0,0.05,N/A
Project: Horned Owl,PS,1995,Shooter,0.03,0.02,0.05,0.01,0.11,N/A
WWF Wrestlemania: The Arcade Game,PS,1995,Fighting,0.03,0.02,0,0,0.06,N/A
Zero Divide,PS,1995,Fighting,0.03,0.02,0,0,0.06,N/A
Zoop,PS,1995,Puzzle,0.03,0.02,0,0,0.05,N/A
Mega Man X3,SNES,1995,Action,0.04,0.01,0.3,0,0.35,N/A
Bubble Bobble also featuring Rainbow Islands,PS,1995,Puzzle,0.04,0.02,0,0,0.06,N/A
Star Fighter,PS,1995,Shooter,0.04,0.02,0,0,0.06,N/A
DefCon 5,PS,1995,Shooter,0.04,0.03,0,0,0.07,N/A
Krazy Ivan,PS,1995,Simulation,0.04,0.03,0,0,0.08,N/A
Slam 'n Jam '96 featuring Magic & Kareem,PS,1995,Sports,0.04,0.03,0,0.01,0.08,N/A
Space Hulk: Vengeance of the Blood Angels,PS,1995,Shooter,0.04,0.03,0,0,0.07,N/A
Striker 96,PS,1995,Sports,0.04,0.03,0,0.01,0.08,N/A
Tempest 3X,PS,1995,Shooter,0.04,0.03,0,0.01,0.08,N/A
Viewpoint,PS,1995,Shooter,0.04,0.03,0,0,0.07,N/A
Blades of Blood: Samurai Shodown III,PS,1995,Fighting,0.05,0.03,0,0.01,0.08,N/A
Cyberia,PS,1995,Action,0.05,0.03,0,0.01,0.09,N/A
Jumping Flash!,PS,1995,Platform,0.05,0.03,0.21,0.02,0.3,N/A
Romance of the Three Kingdoms IV: Wall of Fire,PS,1995,Strategy,0.05,0.03,0.04,0.01,0.13,N/A
Shockwave Assault,PS,1995,Simulation,0.05,0.04,0,0.01,0.09,N/A
X-COM: UFO Defense,PS,1995,Strategy,0.05,0.04,0,0.01,0.09,N/A
Revolution X,PS,1995,Shooter,0.06,0.04,0,0.01,0.1,N/A
Shellshock,PS,1995,Action,0.06,0.04,0,0.01,0.1,N/A
The Raiden Project,PS,1995,Shooter,0.06,0.04,0.12,0.01,0.23,N/A
Disruptor,PS,1995,Shooter,0.07,0.05,0,0.01,0.13,N/A
World Cup Golf: Professional Edition,PS,1995,Sports,0.07,0.05,0,0.01,0.13,N/A
Agile Warrior F-111X,PS,1995,Simulation,0.08,0.05,0,0.01,0.14,N/A
FIFA Soccer 96,PS,1995,Sports,0.09,0.06,0,0.01,0.16,N/A
King's Field,PS,1995,Role-Playing,0.09,0.06,0,0.01,0.16,N/A
Off-World Interceptor Extreme,PS,1995,Racing,0.09,0.06,0,0.01,0.17,N/A
College Slam,PS,1995,Sports,0.1,0.07,0,0.01,0.19,N/A
Street Fighter: The Movie,PS,1995,Fighting,0.1,0.07,0,0.01,0.17,N/A
Bust-A-Move 2 Arcade Edition,PS,1995,Puzzle,0.11,0.07,0,0.01,0.2,N/A
Beyond The Beyond,PS,1995,Role-Playing,0.11,0.08,0.35,0.04,0.57,N/A
PGA Tour 96,PS,1995,Sports,0.13,0.09,0,0.02,0.24,N/A
NBA Jam Tournament Edition,PS,1995,Sports,0.14,0.09,0,0.02,0.25,N/A
Panzer General,PS,1995,Strategy,0.14,0.09,0,0.02,0.24,N/A
Battle Arena Toshinden 2,PS,1995,Fighting,0.15,0.1,0.41,0.05,0.71,N/A
Final Doom,PS,1995,Shooter,0.15,0.1,0,0.02,0.27,N/A
NBA In The Zone,PS,1995,Sports,0.16,0.11,0,0.02,0.28,N/A
Street Fighter Alpha: Warriors' Dreams,PS,1995,Fighting,0.17,0.11,0.43,0.05,0.76,N/A
NBA ShootOut,PS,1995,Sports,0.17,0.12,0,0.02,0.31,N/A
Ridge Racer Revolution,PS,1995,Racing,0.17,0.12,0.71,0.07,1.07,N/A
Extreme Pinball,PS,1995,Misc,0.18,0.12,0,0.02,0.32,N/A
Suikoden,PS,1995,Role-Playing,0.21,0.14,0.21,0.04,0.6,N/A
Sega Rally Championship,SAT,1995,Racing,0.21,0.16,0.77,0.02,1.16,N/A
Warhawk,PS,1995,Simulation,0.25,0.17,0,0.03,0.46,N/A
WipEout,PS,1995,Action,0.26,0.18,0,0.03,0.47,N/A
Chrono Trigger,SNES,1995,Role-Playing,0.28,0,2.02,0.01,2.31,N/A
Bases Loaded '96: Double Header,PS,1995,Sports,0.28,0.19,0,0.03,0.5,N/A
